DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,#1,%1,#2,%2,#3,%3,#4,%4,#5,%5 
01M015,P.S. 015 ROBERTO CLEMENTE,3,2013,All Students,27,289,14,51.9,11,40.7,2,7.4,0,0,2,7.4
01M015,P.S. 015 ROBERTO CLEMENTE,3,2014,All Students,18,285,10,55.6,8,44.4,0,0,0,0,0,0
01M015,P.S. 015 ROBERTO CLEMENTE,3,2015,All Students,16,282,9,56.3,5,31.3,2,12.5,0,0,2,12.5
01M015,P.S. 015 ROBERTO CLEMENTE,4,2013,All Students,20,278,8,40,11,55,1,5,0,0,1,5
01M015,P.S. 015 ROBERTO CLEMENTE,4,2014,All Students,24,284,13,54.2,10,41.7,1,4.2,0,0,1,4.2
01M015,P.S. 015 ROBERTO CLEMENTE,4,2015,All Students,16,288,5,31.3,11,68.8,0,0,0,0,0,0
01M015,P.S. 015 ROBERTO CLEMENTE,5,2013,All Students,24,284,12,50,11,45.8,1,4.2,0,0,1,4.2
01M015,P.S. 015 ROBERTO CLEMENTE,5,2014,All Students,21,268,15,71.4,5,23.8,0,0,1,4.8,1,4.8
01M015,P.S. 015 ROBERTO CLEMENTE,5,2015,All Students,24,281,14,58.3,9,37.5,1,4.2,0,0,1,4.2
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2013,All Students,71,284,34,47.9,33,46.5,4,5.6,0,0,4,5.6
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2014,All Students,63,279,38,60.3,23,36.5,1,1.6,1,1.6,2,3.2
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2015,All Students,56,283,28,50,25,44.6,3,5.4,0,0,3,5.4
01M019,P.S. 019 ASHER LEVY,3,2013,All Students,35,303,11,31.4,18,51.4,4,11.4,2,5.7,6,17.1
01M019,P.S. 019 ASHER LEVY,3,2014,All Students,35,304,10,28.6,10,28.6,14,40,1,2.9,15,42.9
01M019,P.S. 019 ASHER LEVY,3,2015,All Students,28,302,11,39.3,8,28.6,8,28.6,1,3.6,9,32.1
01M019,P.S. 019 ASHER LEVY,4,2013,All Students,41,284,20,48.8,17,41.5,4,9.8,0,0,4,9.8
01M019,P.S. 019 ASHER LEVY,4,2014,All Students,34,309,7,20.6,15,44.1,8,23.5,4,11.8,12,35.3
01M019,P.S. 019 ASHER LEVY,4,2015,All Students,32,305,4,12.5,15,46.9,11,34.4,2,6.3,13,40.6
01M019,P.S. 019 ASHER LEVY,5,2013,All Students,36,303,7,19.4,20,55.6,9,25,0,0,9,25
01M019,P.S. 019 ASHER LEVY,5,2014,All Students,34,291,14,41.2,14,41.2,5,14.7,1,2.9,6,17.6
01M019,P.S. 019 ASHER LEVY,5,2015,All Students,29,316,4,13.8,13,44.8,9,31,3,10.3,12,41.4
01M019,P.S. 019 ASHER LEVY,All Grades,2013,All Students,112,296,38,33.9,55,49.1,17,15.2,2,1.8,19,17
01M019,P.S. 019 ASHER LEVY,All Grades,2014,All Students,103,301,31,30.1,39,37.9,27,26.2,6,5.8,33,32
01M019,P.S. 019 ASHER LEVY,All Grades,2015,All Students,89,308,19,21.3,36,40.4,28,31.5,6,6.7,34,38.2
01M020,P.S. 020 ANNA SILVER,3,2013,All Students,77,295,27,35.1,33,42.9,17,22.1,0,0,17,22.1
01M020,P.S. 020 ANNA SILVER,3,2014,All Students,95,279,59,62.1,26,27.4,9,9.5,1,1.1,10,10.5
01M020,P.S. 020 ANNA SILVER,3,2015,All Students,91,293,34,37.4,31,34.1,22,24.2,4,4.4,26,28.6
01M020,P.S. 020 ANNA SILVER,4,2013,All Students,74,295,26,35.1,31,41.9,15,20.3,2,2.7,17,23
01M020,P.S. 020 ANNA SILVER,4,2014,All Students,65,300,18,27.7,28,43.1,14,21.5,5,7.7,19,29.2
01M020,P.S. 020 ANNA SILVER,4,2015,All Students,91,289,35,38.5,39,42.9,13,14.3,4,4.4,17,18.7
01M020,P.S. 020 ANNA SILVER,5,2013,All Students,76,292,32,42.1,34,44.7,9,11.8,1,1.3,10,13.2
01M020,P.S. 020 ANNA SILVER,5,2014,All Students,69,294,26,37.7,26,37.7,14,20.3,3,4.3,17,24.6
01M020,P.S. 020 ANNA SILVER,5,2015,All Students,58,298,18,31,21,36.2,15,25.9,4,6.9,19,32.8
01M020,P.S. 020 ANNA SILVER,All Grades,2013,All Students,227,294,85,37.4,98,43.2,41,18.1,3,1.3,44,19.4
01M020,P.S. 020 ANNA SILVER,All Grades,2014,All Students,229,290,103,45,80,34.9,37,16.2,9,3.9,46,20.1
01M020,P.S. 020 ANNA SILVER,All Grades,2015,All Students,240,293,87,36.3,91,37.9,50,20.8,12,5,62,25.8
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2013,All Students,38,295,18,47.4,9,23.7,11,28.9,0,0,11,28.9
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2014,All Students,32,270,19,59.4,10,31.3,3,9.4,0,0,3,9.4
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2015,All Students,30,298,11,36.7,8,26.7,11,36.7,0,0,11,36.7
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2013,All Students,46,304,10,21.7,25,54.3,8,17.4,3,6.5,11,23.9
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2014,All Students,37,295,13,35.1,16,43.2,5,13.5,3,8.1,8,21.6
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2015,All Students,30,289,7,23.3,18,60,5,16.7,0,0,5,16.7
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2013,All Students,30,293,10,33.3,17,56.7,3,10,0,0,3,10
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2014,All Students,42,291,19,45.2,16,38.1,5,11.9,2,4.8,7,16.7
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2015,All Students,35,294,14,40,13,37.1,4,11.4,4,11.4,8,22.9
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2013,All Students,56,291,19,33.9,29,51.8,6,10.7,2,3.6,8,14.3
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2014,All Students,41,296,13,31.7,18,43.9,7,17.1,3,7.3,10,24.4
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2015,All Students,54,297,13,24.1,31,57.4,7,13,3,5.6,10,18.5
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2013,All Students,46,289,17,37,27,58.7,2,4.3,0,0,2,4.3
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2014,All Students,57,300,17,29.8,27,47.4,10,17.5,3,5.3,13,22.8
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2015,All Students,42,295,14,33.3,15,35.7,13,31,0,0,13,31
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2013,All Students,43,291,17,39.5,20,46.5,6,14,0,0,6,14
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2014,All Students,55,290,16,29.1,28,50.9,10,18.2,1,1.8,11,20
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2015,All Students,56,300,11,19.6,24,42.9,18,32.1,3,5.4,21,37.5
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2013,All Students,259,294,91,35.1,127,49,36,13.9,5,1.9,41,15.8
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2014,All Students,264,292,97,36.7,115,43.6,40,15.2,12,4.5,52,19.7
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2015,All Students,247,296,70,28.3,109,44.1,58,23.5,10,4,68,27.5
01M063,THE STAR ACADEMY - P.S.63,3,2013,All Students,19,288,8,42.1,8,42.1,3,15.8,0,0,3,15.8
01M063,THE STAR ACADEMY - P.S.63,3,2014,All Students,17,294,6,35.3,6,35.3,5,29.4,0,0,5,29.4
01M063,THE STAR ACADEMY - P.S.63,3,2015,All Students,17,294,9,52.9,1,5.9,6,35.3,1,5.9,7,41.2
01M063,THE STAR ACADEMY - P.S.63,4,2013,All Students,21,291,7,33.3,12,57.1,2,9.5,0,0,2,9.5
01M063,THE STAR ACADEMY - P.S.63,4,2014,All Students,17,292,4,23.5,10,58.8,3,17.6,0,0,3,17.6
01M063,THE STAR ACADEMY - P.S.63,4,2015,All Students,13,289,5,38.5,5,38.5,3,23.1,0,0,3,23.1
01M063,THE STAR ACADEMY - P.S.63,5,2013,All Students,22,288,13,59.1,5,22.7,4,18.2,0,0,4,18.2
01M063,THE STAR ACADEMY - P.S.63,5,2014,All Students,17,284,6,35.3,8,47.1,3,17.6,0,0,3,17.6
01M063,THE STAR ACADEMY - P.S.63,5,2015,All Students,20,295,7,35,9,45,4,20,0,0,4,20
01M063,THE STAR ACADEMY - P.S.63,All Grades,2013,All Students,62,289,28,45.2,25,40.3,9,14.5,0,0,9,14.5
01M063,THE STAR ACADEMY - P.S.63,All Grades,2014,All Students,51,290,16,31.4,24,47.1,11,21.6,0,0,11,21.6
01M063,THE STAR ACADEMY - P.S.63,All Grades,2015,All Students,50,293,21,42,15,30,13,26,1,2,14,28
01M064,P.S. 064 ROBERT SIMON,3,2013,All Students,30,288,17,56.7,10,33.3,3,10,0,0,3,10
